AFG Arena,19694
Kybunpark,19694
Stadion Espenmoos,11300
Arena Thun,10398
Stockhorn Arena,10398
Lachenstadion,10055
Breite Stadion,7300
Brügglifeld,9250
Charriére,12700
Cornaredo,6330
Hardturm,18137
La Maladière,12500
La Maladiere (1924-2004),25500
Letzigrund,26104
Olympique de la Pontaise,15786
Rheinpark,7838
